               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06619,            0.035872,            0.016509,              0.5195,                   0,                   0,                   0,                   0,            0.065025,            0.019775,            0.018157,             0.52401,           0.0033245,           0.0033245,            0.070079
                   1,            0.054136,            0.018429,            0.014062,             0.35937,                   0,                   0,                   0,                   0,            0.075897,            0.012268,            0.018621,             0.30931,           0.0065275,           0.0065275,            0.039949
                   2,            0.068053,            0.012376,            0.014397,             0.21322,                   0,                   0,                   0,                   0,            0.081651,           0.0093709,            0.017302,             0.18259,           0.0092279,           0.0092279,           0.0093161
                   3,            0.078497,           0.0076329,            0.013317,             0.15061,                   0,                   0,                   0,                   0,            0.090283,           0.0060223,            0.016964,             0.16107,           0.0083511,           0.0083511,           0.0083511
                   4,            0.072464,           0.0073832,            0.012481,             0.13007,                   0,                   0,                   0,                   0,            0.088146,           0.0060495,            0.017152,              0.1532,           0.0083511,           0.0083511,           0.0083511
                   5,            0.072218,            0.007136,            0.012644,             0.12844,                   0,                   0,                   0,                   0,            0.087813,           0.0060549,            0.017052,             0.15033,           0.0072361,           0.0072361,           0.0072361
                   6,            0.077103,           0.0076944,            0.013261,             0.13711,                   0,                   0,                   0,                   0,            0.090028,           0.0056594,            0.017099,              0.1485,               0.006,               0.006,               0.006
                   7,            0.073078,           0.0069502,             0.01329,             0.12761,                   0,                   0,                   0,                   0,            0.080834,           0.0074616,            0.016827,             0.14669,           0.0047639,           0.0047639,           0.0047639
                   8,            0.068113,           0.0076336,            0.013018,             0.12361,                   0,                   0,                   0,                   0,            0.079325,           0.0076577,            0.016508,             0.14617,           0.0036489,           0.0036489,           0.0036489
                   9,            0.066606,           0.0086104,            0.012837,             0.12578,            0.046751,            0.059211,            0.021941,           0.0027992,            0.080452,           0.0072882,            0.016592,              0.1451,           0.0027639,           0.0027639,           0.0027639
